PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
1630162,2023-24,00,1610612750,MIN,22.0,79,78,2770.0,718,1558,0.461,190,532,0.357,423,506,0.836,52,378,430,405,101,42,241,141,2049,Anthony Edwards
1630162,2024-25,00,1610612750,MIN,23.0,79,79,2871.0,721,1612,0.447,320,811,0.395,415,496,0.837,61,389,450,359,91,51,249,150,2177,Anthony Edwards
1642449,2024-25,00,1610612765,DET,24.0,1,0,22.0,6,9,0.667,0,0,0.0,2,3,0.667,4,4,8,0,0,0,2,3,14,Tolu Smith
1630558,2021-22,00,1610612758,SAC,23.0,75,19,2076.0,352,843,0.418,101,320,0.316,56,85,0.659,33,133,166,313,55,24,114,141,861,Davion Mitchell
1630558,2022-23,00,1610612758,SAC,24.0,80,9,1447.0,181,399,0.454,63,197,0.32,25,31,0.806,16,89,105,185,44,15,62,112,450,Davion Mitchell
1630558,2023-24,00,1610612758,SAC,25.0,72,4,1101.0,146,323,0.452,57,158,0.361,30,42,0.714,19,76,95,134,17,3,43,85,379,Davion Mitchell
1630558,2024-25,00,1610612761,TOR,26.0,44,22,1080.0,106,244,0.434,42,117,0.359,25,37,0.676,16,69,85,203,31,8,78,116,279,Davion Mitchell
1630558,2024-25,00,1610612748,MIA,26.0,30,15,947.0,117,232,0.504,42,94,0.447,33,47,0.702,19,63,82,160,41,8,50,69,309,Davion Mitchell
1630558,2024-25,00,0,TOT,26.0,74,37,2027.0,223,476,0.468,84,211,0.398,58,84,0.69,35,132,167,363,72,16,128,185,588,Davion Mitchell
202699,2011-12,00,1610612749,MIL,19.0,42,9,479.0,79,169,0.467,6,23,0.261,44,54,0.815,30,71,101,22,13,7,31,45,208,Tobias Harris
202699,2012-13,00,1610612749,MIL,20.0,28,14,325.0,53,115,0.461,7,21,0.333,23,26,0.885,17,40,57,13,8,7,18,31,136,Tobias Harris
202699,2012-13,00,1610612753,ORL,20.0,27,20,974.0,180,397,0.453,27,87,0.31,80,111,0.721,56,174,230,56,24,37,48,89,467,Tobias Harris
202699,2012-13,00,0,TOT,20.0,55,34,1299.0,233,512,0.455,34,108,0.315,103,137,0.752,73,214,287,69,32,44,66,120,603,Tobias Harris
202699,2013-14,00,1610612753,ORL,21.0,61,36,1850.0,332,716,0.464,32,126,0.254,197,244,0.807,88,336,424,82,41,24,78,143,893,Tobias Harris
202699,2014-15,00,1610612753,ORL,22.0,68,63,2369.0,442,949,0.466,87,239,0.364,193,245,0.788,73,357,430,124,69,36,115,134,1164,Tobias Harris
202699,2015-16,00,1610612753,ORL,23.0,49,49,1610.0,251,541,0.464,47,151,0.311,120,153,0.784,71,271,342,99,47,28,78,91,669,Tobias Harris
202699,2015-16,00,1610612765,DET,23.0,27,25,903.0,166,348,0.477,33,88,0.375,82,90,0.911,25,143,168,70,18,12,30,62,447,Tobias Harris
202699,2015-16,00,0,TOT,23.0,76,74,2513.0,417,889,0.469,80,239,0.335,202,243,0.831,96,414,510,169,65,40,108,153,1116,Tobias Harris
202699,2016-17,00,1610612765,DET,24.0,82,48,2566.0,511,1063,0.481,109,314,0.347,190,226,0.841,63,353,416,142,60,39,96,133,1321,Tobias Harris
202699,2017-18,00,1610612765,DET,25.0,48,48,1563.0,320,709,0.451,113,276,0.409,115,136,0.846,36,208,244,94,34,15,51,91,868,Tobias Harris
202699,2017-18,00,1610612746,LAC,25.0,32,32,1105.0,242,512,0.473,70,169,0.414,64,80,0.8,22,171,193,98,37,20,54,73,618,Tobias Harris
202699,2017-18,00,0,TOT,25.0,80,80,2668.0,562,1221,0.46,183,445,0.411,179,216,0.829,58,379,437,192,71,35,105,164,1486,Tobias Harris
202699,2018-19,00,1610612746,LAC,26.0,55,55,1904.0,424,855,0.496,112,258,0.434,192,219,0.877,37,395,432,150,40,24,109,123,1152,Tobias Harris
202699,2018-19,00,1610612755,PHI,26.0,27,27,944.0,187,399,0.469,44,135,0.326,74,88,0.841,32,181,213,79,11,13,42,61,492,Tobias Harris
202699,2018-19,00,0,TOT,26.0,82,82,2848.0,611,1254,0.487,156,393,0.397,266,307,0.866,69,576,645,229,51,37,151,184,1644,Tobias Harris
202699,2019-20,00,1610612755,PHI,27.0,72,72,2469.0,553,1173,0.471,131,357,0.367,174,216,0.806,69,426,495,227,53,40,104,165,1411,Tobias Harris
202699,2020-21,00,1610612755,PHI,28.0,62,62,2014.0,473,924,0.512,82,208,0.394,182,204,0.892,62,357,419,220,55,51,107,119,1210,Tobias Harris
202699,2021-22,00,1610612755,PHI,29.0,73,73,2543.0,493,1022,0.482,101,275,0.367,170,202,0.842,77,419,496,252,47,43,116,164,1257,Tobias Harris
202699,2022-23,00,1610612755,PHI,30.0,74,74,2436.0,423,845,0.501,126,324,0.389,113,129,0.876,67,357,424,186,68,40,89,149,1085,Tobias Harris
202699,2023-24,00,1610612755,PHI,31.0,70,70,2368.0,463,951,0.487,91,258,0.353,187,213,0.878,80,373,453,217,70,46,93,115,1204,Tobias Harris
202699,2024-25,00,1610612765,DET,32.0,73,73,2305.0,384,805,0.477,91,264,0.345,143,166,0.861,65,367,432,162,74,57,85,138,1002,Tobias Harris
